caller,called
UnitGammaLocking,TriggeredAv
UnitGammaLocking,ButFilter
UnitGammaLocking,UnitGammaLocking
SmoothFiring,SmoothFiring
Trains2CCG,CCG
Trains2CCG,Trains2CCG
ThetaParams,WhitenSignal
ThetaParams,LocalMinima
ThetaParams,mtchglong
ThetaParams,ButFilter
ThetaParams,Filter0
ThetaParams,AdaptiveFilter
ThetaParams,PhaseFromCycles
ThetaParams,MTFilter
ThetaParams,PowerPeakStats
ThetaParams,ThetaParams
mtchd,mtcsd
mtchd,mtparam
mtchd,mtchd
DetectOscillations,LocalMinima
DetectOscillations,ThreshCross
DetectOscillations,ButFilter
DetectOscillations,DetectOscillations
HmmStateSegment,thetarun
HmmStateSegment,ThreshCross
HmmStateSegment,HmmStateSegment
ReturnMap,ReturnMap
Gamma_EcHpc_GM,WhitenSignal
Gamma_EcHpc_GM,mtptchd
Gamma_EcHpc_GM,Gamma_EcHpc_GM
Scalogram,Wavelet
Scalogram,Scalogram
templatefilter,templatefilter
MTFilter,Filter0
MTFilter,MTFilter
mtcsdfastAS,mtcsdfast
mtcsdfastAS,mtcsd
mtcsdfastAS,mtcsdfastAS
LocalMinima,LocalMinima
TriggeredAv,MyHilbert
TriggeredAv,TriggeredAv
WaveletSampling,WaveletSampling
wave_bases,wave_bases
mtparamEd,mtparam
mtparamEd,mtparamEd
SplitIntoBursts,SplitIntoBursts
ScalogramPeaks,Scalogram
ScalogramPeaks,ScalogramPeaks
mtcsdlong,mtparam
mtcsdlong,mtchglong
mtcsdlong,mtcsdlong
CCGSignif,CatTrains
CCGSignif,CCG
CCGSignif,CCG
CCGSignif,CCGSignif
TrigRasters,CCG_part
TrigRasters,CatTrains
TrigRasters,CCG
TrigRasters,TrigRasters
mtcsglong,mtparam
mtcsglong,mtchglong
mtcsglong,mtcsglong
PointCorrel,PointCorrel
LocalMinimaN,LocalMinimaN
CheckEegStates_OLD,mtcsglong
CheckEegStates_OLD,CheckEegStates
CheckEegStates_OLD,ThreshCross
CheckEegStates_OLD,CheckEegStates_aux
CheckEegStates_OLD,WhitenSignal
CheckEegStates_OLD,CheckEegStates_OLD
Gamma_EcHpc_G,WhitenSignal
Gamma_EcHpc_G,ButFilter
Gamma_EcHpc_G,FiringRate
Gamma_EcHpc_G,mtchd
Gamma_EcHpc_G,PowerModulation
Gamma_EcHpc_G,mtptchd
Gamma_EcHpc_G,Gamma_EcHpc_G
TrigSpecgram,mtcsglong
TrigSpecgram,WhitenSignal
TrigSpecgram,TrigSpecgram
mtchdfast,mtchd
mtchdfast,mtcsdfast
mtchdfast,mtchdfast
mtcsglongEd,mtcsglong
mtcsglongEd,mtchglong
mtcsglongEd,mtparamEd
mtcsglongEd,mtcsglongEd
CCG_part,CCG
CCG_part,CCG_part
Harmonix,mtparam
Harmonix,Harmonix
mtparam_pt,mtparam_pt
PopulationBursts,SplitIntoBursts
PopulationBursts,PopulationBursts
circmean,circmean
RunningHist,RunningHist
WaveletTimeSplit,WaveletSampling
WaveletTimeSplit,WaveletTimeSplit
PowerPhasePairs,MTFilter
PowerPhasePairs,FirFilter
PowerPhasePairs,ButFilter
PowerPhasePairs,PowerPhasePairs
PowerModulation,PowerModulation
UnitGammaLocking_Display,LocalMinimaN
UnitGammaLocking_Display,UnitGammaLocking_Display
Smooth_JUST_A_COPY_OF_MATLAB_GENERIC?,Smooth_JUST_A_COPY_OF_MATLAB_GENERIC?
WhitenSignal,mtchd
WhitenSignal,Filter0
WhitenSignal,WhitenSignal
CCG,CCG
mtcsdfast,mtcsd
mtcsdfast,mtparam
mtcsdfast,mtcsdfast
ShufflePhase,ShufflePhase
Wavelet,WaveletTimeSplit
Wavelet,wave_bases
Wavelet,WaveletSampling
Wavelet,Wavelet
DetectRipples,DetectOscillations
DetectRipples,DetectRipples
CheckEegStates_aux,HmmStateSegment
CheckEegStates_aux,CheckEegStates_aux
ThreshCross,ThreshCross
mtchglong,mtparam
mtchglong,mtchglong
Gamma_EcHpc_GU,FiringRate
Gamma_EcHpc_GU,ButFilter
Gamma_EcHpc_GU,Gamma_EcHpc_GU
CurSrcDns,CurSrcDns
FirFilter,Filter0
FirFilter,FirFilter
ThGamMod,PowerPhasePairs
ThGamMod,ThGamMod
ButFilter,ButFilter
RunningFun,RunningFun
Gamma_EcHpc_GMU,FiringRate
Gamma_EcHpc_GMU,WhitenSignal
Gamma_EcHpc_GMU,mtptchd
Gamma_EcHpc_GMU,Gamma_EcHpc_GM
Gamma_EcHpc_GMU,Gamma_EcHpc_GMU
HistFiring,HistFiring
mtfft,mtparam
mtfft,mtfft
ComodugramRank,mtcsglong
ComodugramRank,Comodugram
ComodugramRank,ComodugramRank
MyHilbert,MyHilbert
JPSTH,CCG
JPSTH,JPSTH
thetarun,thetarun
mtcsd,mtparam
mtcsd,mtcsd
mtparam,mtparam
FiringRate,FiringRate
Comodugram,mtcsglong
Comodugram,Comodugram
PhaseFromCycles,PhaseFromCycles
IntersectRanges,IntersectRanges
mtptchd,mtparam_pt
mtptchd,mtptcsd
mtptchd,mtptchd
TrigAvCSD,TriggeredAv
TrigAvCSD,TrigAvCSD
CCGSignifConv,CCG
CCGSignifConv,Filter0
CCGSignifConv,CCGSignifConv
TrigCoherogram,mtcsdlong
TrigCoherogram,TrigCoherogram
CatTrains,CatTrains
Filter0,Filter0
PointFFT,PointFFT
mtcsdglong,mtparam
mtcsdglong,mtcsdglong
AdaptiveFilter,MTFilter
AdaptiveFilter,ButFilter
AdaptiveFilter,AdaptiveFilter
PowerPeakStats,LocalMinima
